National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
7464,1430_00_00_00_14,Naphthalenes-C4,Water - Hydrocarbons,
7465,1433_00_00_00_14,Phenanthrenes/anthracenes-C4,Water - Hydrocarbons,
7466,4837_00_00_00_14,benz[a]anthracenes/chrysenes-C5,Water - Hydrocarbons,
7467,4836_00_00_00_14,Benzopyrenes/perylenes-C5,Water - Hydrocarbons,
7468,4838_00_00_00_14,Fluoranthenes/pyrenes-C5,Water - Hydrocarbons,
7469,4526_00_00_00_14,Naphthalenes-C5,Water - Hydrocarbons,
7470,4840_00_00_00_14,Phenanthrenes/anthracenes-C5,Water - Hydrocarbons,
7471,1505_00_00_00_01,Acenaphthene-D10 (ACE-d10),Water - Surrogate,
7472,3643_00_00_00_01,Acenaphthylene-D8,Water - Surrogate,
7473,3760_00_00_00_01,Benz(a)anthracene-D12,Water - Surrogate,
7474,3040_00_00_00_01,Benzo(a)pyrene-D12,Water - Surrogate,
7475,3761_00_00_00_01,Benzo(b)fluoranthene-D12,Water - Surrogate,
7476,1428_00_00_00_01,"Benzo(g,h,i)perylene-D12 (B-ghiPer-d12)",Water - Surrogate,
7477,3762_00_00_00_01,Benzo(k)fluoranthene-D12,Water - Surrogate,
7478,1426_00_00_00_01,Chrysene-D12 (Chry-d12),Water - Surrogate,
7479,1427_00_00_00_01,"Dibenzo(a,h)anthracene-D14",Water - Surrogate,
7480,3642_00_00_00_01,Fluoranthene-D10 (F-d10),Water - Surrogate,
7481,3763_00_00_00_01,"Indeno(1,2,3-c,d)pyrene-D12",Water - Surrogate,
7482,3037_00_00_00_01,Naphthalene-D8,Water - Surrogate,
7483,1156_00_00_00_01,Perylene-D12,Water - Surrogate,
7484,1425_00_00_00_01,Phenanthrene-D10 (Phe-d10),Water - Surrogate,
7485,1491_00_00_00_01,Pyrene-D10,Water - Surrogate,
7540,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7551,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7556,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7557,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7562,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
