Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
61253,Atrazine,133_00_00_01_02,4336,WISKI_NGG
102554,Atrazine,133_00_00_01_02,2880,WISKI_NGG
102555,Metolachlor,208_00_00_01_02,2880,WISKI_NGG
61264,Metolachlor,208_00_00_01_02,4336,WISKI_NGG
96910,Metolachlor,208_00_00_01_02,2339,WISKI_NGG
58202,Metolachlor,208_00_00_01_02,4235,WISKI_NGG
48934,Metolachlor,208_00_00_01_02,303,MIGG
306,Metolachlor,208_00_00_01_02,2303,WISKI_NGG
945,Metolachlor,208_00_00_01_02,223,WISKI_NGG
324,Fluoride total,511_00_00_00_14,617,MGL
1962,Fluoride total,511_00_00_00_14,1891,MGL
1257,Fluoride total,511_00_00_00_14,10348,MGL
108314,Fluoride total,511_00_00_00_14,3561,MGL
108147,Cadmium dissolved,409_00_00_00_14,3553,MGL
107947,Cadmium dissolved,409_00_00_00_14,3529,UT
108719,Cadmium dissolved,409_00_00_00_14,3584,UT
109350,Cadmium dissolved,409_00_00_00_14,3641,UT
110899,Cadmium dissolved,409_00_00_00_14,2725u2,UT
13795,Cadmium dissolved,409_00_00_00_14,4399,MGL
4215,Cadmium dissolved,409_00_00_00_14,295,WISKI_NGL
1226,Cadmium dissolved,409_00_00_00_14,10347,UT
1198,Cadmium dissolved,409_00_00_00_14,10320,MGL
361,Cadmium dissolved,409_00_00_00_14,2577,MGL
1005,Cadmium dissolved,409_00_00_00_14,3017,UT
6214,Cadmium dissolved,409_00_00_00_14,3744,UT
4704,Cadmium dissolved,409_00_00_00_14,391,WISKI_NGL
